Animal,Website,Actions,Duplicate Check,Fold,Validation,Dog,Unnamed: 7,Unnamed: 8,Unnamed: 9,Cat,Unnamed: 11,Unnamed: 12,Unnamed: 13
Dog,https://www.youtube.com/watch?v=ej83f-LrWLY,"[(""Walking"", 0:03-0:07), (""Standing(on all fours)"", 0:08-0:12), (""Standing(on all fours)"", 0:18-0:22), (""Sniffing"", 0:25-0:32) (""Seizures"",1:22-1:48)]",Unique,3.0,,Normal,Quantity,Abnormal,Quantity,Normal,Quantity,Abnormal,Quantity
Dog,https://www.youtube.com/watch?v=PtO8XCOuvgY,"[(""Seizures"",0:05-0:17), (""Seizures"",0:50-0:59)]",Unique,4.0,,Running,50,Vomiting,37,Running,35,Vomiting ,46
Dog,https://www.youtube.com/watch?v=XyL-xKXMSIY,"[(""Seizures"",0:21-0:54), (""Seizures"", 1:15-1:30)]",Unique,5.0,,Walking,59,Seizures,35,Walking,44,Seizures,36
Dog,https://www.youtube.com/watch?v=D-0bAeAsSFY,"[(""Seizures"",0:03-0:23)]",Unique,1.0,,Sniffing,64,Coughing,36,Sniffing ,51,Coughing,57
Cat,https://www.youtube.com/watch?v=PdEMrJlmd8U,"[(""Seizures"", 0:05-0:48), (""Seizures"", 1:01-1:09), (""Lying"",1:49-1:54)]",Unique,1.0,,Standing(on all fours),65,Movement Disorder,56,Standing(on all fours),52,Movement Disorder,51
Cat,https://www.youtube.com/watch?v=v1rdiiT_44o,"[(""Seizures"", 0:24-0:30), (""Seizures"", 0:37-0:59)]",Unique,5.0,,Standing(bipedal),44,,,Standing(bipedal),50,,
Dog,https://www.youtube.com/watch?v=ExcQZFswFks,"[(""Seizures"", 0:30-0:41), (""Seizures"", 1:13-1:20)]",Unique,3.0,,Sitting,50,,,Sitting,37,,
Cat,https://www.youtube.com/watch?v=XWbNEKvJZ0M,"[(""Seizures"", 0:13-0:27)]",Unique,4.0, ,Lying,30,,,Lying,51,,
Cat,https://www.youtube.com/watch?v=wlTgaiwiGeM,"[(""Movement Disorder"", 0:06-0:16), (""Seizures"", 0:37-0:44), (""Seizures"", 0:53-1:20), (""Lying"", 1:25-1:30)]",Unique,2.0,,,,,,,,,
Cat,https://youtu.be/cKsz8izf-jo?feature=shared,"[(""Seizures"", 0:01-0:10), (""Seizures"", 1:14-1:20)]",Unique,3.0,,5-second Accounts,,,,,,,
Cat,https://www.youtube.com/watch?v=CEsXGnlGf2w,"[(""Seizures"", 0:00-0:23), (""Lying"", 0:30-0:42)]",Unique,4.0,,Dog,,,,Cat,,,
Cat,https://www.youtube.com/watch?v=IxQD51LpKFw,"[(""Seizures"", 0:04-0:15), (""Sitting"", 1:10-1:18)]",Unique,5.0,,Normal,Quantity,Abnormal,Quantity,Normal,Quantity,Abnormal,Quantity
Dog,https://www.youtube.com/watch?v=AHUr7PGnJqw,"[(""Lying"", 0:04-0:08), (""Vomiting"", 0:14-0:18)]",Unique,1.0,V,Running,85,Vomiting,81,Running,43,Vomiting ,81
Cat,https://www.youtube.com/watch?v=tYhFGwUJCj4,"[(""Lying"", 0:00-0:05), (""Vomiting"", 0:13-0:17)]",Unique,3.0,,Walking,83,Seizures,96,Walking,95,Seizures,86
Cat,https://youtu.be/i_n83OZ8hPg?feature=shared,"[(""Vomiting"",0:00-0:11)]",Unique,3.0,,Sniffing,83,Coughing,49,Sniffing ,84,Coughing,81
Cat,https://www.youtube.com/watch?v=XIsLCkDBsh4,"[(""Seizures"", 0:00-0:13), (""Lying"", 0:20-0:30)]",Unique,5.0,,Standing(on all fours),80,Movement Disorder,80,Standing(on all fours),72,Movement Disorder,80
Cat,https://www.youtube.com/watch?v=kFJ5ykV9eAI,"[(""Walking"", 0:03-0:08), (""Vomiting"",0:11-0:20)]",Unique,1.0,,Standing(bipedal),80,,,Standing(bipedal),87,,
Cat,https://www.youtube.com/watch?v=mgAzz0-i6Fo,"[(""Sniffing"", 0:43-0:58)]",Unique,1.0,,Sitting,80,,,Sitting,80,,
Dog,https://www.youtube.com/shorts/WycJwvXh1Tg,"[(""Coughing"", 0:02-0:18)]",Unique,1.0,,Lying,87,,,Lying,84,,
Dog,https://www.youtube.com/watch?v=Re9G5O7d1w0,"[(""Coughing"", 0:02-0:07)]",Unique,5.0,V,,,,,,,,
Dog,https://www.youtube.com/watch?v=TrFlQCkndRs,"[(""Movement Disorder"", 0:00-0:12), (""Movement Disorder"", 0:27-0:32), (""Standing(on all fours)"", 0:33-0:38)]",Unique,5.0,,,,,,,,,
Dog,https://www.youtube.com/watch?v=3-QNv9PYJPo,"[(""Movement Disorder"", 0:20-0:27)], [(""Walking"", 0:37-0:43)]",Unique,2.0,,,,,,,,,
Dog,https://www.youtube.com/watch?v=voHoEg2au2I,"[(""Movement Disorder"", 0:02-0:08)]",Unique,5.0,V,,,,,,,,
Cat,https://www.youtube.com/watch?v=l7-ZgXHxruY,"[(""Movement Disorder"", 0:01-0:12), (""Movement Disorder"", 0:56-1:16), (""Movement Disorder"", 2:03-2:15), (""Movement Disorder"", 2:19-2:37), (""Standing(on all fours)"", 2:46-2:58), (""Movement Disorder"", 3:02-3:22), (""Movement Disorder"", 3:29-3:40)]",Unique,3.0,,,,,,,,,
Cat,https://www.youtube.com/watch?v=hdc0CF4f8fU,"[(""Standing(on all fours)"", 0:21-0:37)]",Unique,5.0,,,,,,,,,
Cat,https://www.youtube.com/watch?v=FIwafJyHFzw,"[(""Movement Disorder"", 0:08-0:14), (""Movement Disorder"", 1:42-1:46)]",Unique,2.0,,,,,,,,,
Dog,https://www.youtube.com/watch?v=Ob4n13pbhtU,"[(""Running"", 0:34-0:40), (""Running"", 2:01-2:05)]",Unique,3.0,,,,,,,,,
Dog,https://www.youtube.com/shorts/qPkTnaLGGCU,"[(""Standing(on all fours)"", 0:01-0:06), (""Movement Disorder"", 0:09-0:19)]",Unique,3.0,,,,,,,,,
Dog,https://www.youtube.com/watch?v=QTRwbLctcwk,"[(""Seizures"",0:11-0:33)]",Unique,2.0,,,,,,,,,
Dog,https://www.youtube.com/watch?v=k-EPxNDCaeY,"[(""Running"", 0:04-0:19)]",Unique,1.0,,,,,,,,,
Cat,https://www.youtube.com/watch?v=CXKLVsB_7aw,"[(""Running"", 0:13-0:20), (""Running"", 0:52-1:03), (""Running"", 1:49-2:00), (""Running"", 2:19-2:25), (""Running"", 2:45-2:50)]",Unique,5.0,,,,,,,,,
Dog,https://www.youtube.com/shorts/Pinmpok9pSM,"[(""Seizures"",0:00-0:07)]",Unique,2.0,,,,,,,,,
Cat,https://www.youtube.com/shorts/v53JYg2cljQ,"[(""Seizures"",0:03-0:17)]",Unique,3.0,,,,,,,,,
Cat,https://www.youtube.com/shorts/fnwXdroLT-k,"[(""Seizures"", 0:00-0:06)]",Unique,2.0,,,,,,,,,
Cat,https://www.youtube.com/watch?v=pGUHRGFpKWM,"[(""Seizures"",1:18-1:26)]",Unique,1.0,,,,,,,,,
Cat,https://www.youtube.com/watch?v=TDVlGoCNmeY,"[(""Seizures"", 0:02-0:13), (""Seizures"",1:07-1:21), (""Lying"", 1:52-2:02)]",Unique,2.0,,,,,,,,,
Cat,https://www.youtube.com/watch?v=lbteSyr3_NI,"[(""Seizures"",0:00-0:25), (""Seizures"", 0:27-0:33)]",Unique,4.0,,,,,,,,,
Cat,https://www.youtube.com/watch?v=sNWDU8LX6JM,"[(""Seizures"",0:00-0:06), (""Seizures"", 0:09-0:49)]",Unique,3.0,,,,,,,,,
Dog,https://www.youtube.com/watch?v=YXxmAkduF3Q,"[(""Seizures"",0:25-0:37), (""Lying"", 3:01-3:09)]",Unique,4.0,,,,,,,,,
Dog,https://www.youtube.com/watch?v=XaiU5cUdyYo,"[(""Seizures"",0:07-0:18)]",Unique,1.0,,,,,,,,,
Dog,https://www.youtube.com/watch?v=qPReWIpARnk,"[(""Seizures"",0:25-0:37)]",Unique,5.0,,,,,,,,,
Dog,https://www.youtube.com/watch?v=KeFeC-E9-dk,"[(""Lying"",0:15-0:53)],[(""Lying"", 1:03-1:30)],[(""Lying"", 2:29-2:41)], [(""Sitting"", 2:44-2:49)], [(""Lying"", 3:09-3:27)]",Unique,5.0,,,,,,,,,
Dog,https://www.youtube.com/watch?v=ueAIB7tN8IE,"[(""Movement Disorder"", 0:07-0:15), (""Standing(on all fours), 0:24-0:33"")]",Unique,4.0,,,,,,,,,
Dog,https://www.youtube.com/watch?v=VaoC01V4tjM,"[(""Seizures"",0:46-1:01), (""Seizures"", 1:03-1:19)]",Unique,1.0,,,,,,,,,
Cat,https://www.youtube.com/watch?v=ybwFzCj_rfM,"[(""Seizures"",0:14-0:23)]",Unique,5.0,V,,,,,,,,
Cat,https://www.youtube.com/watch?v=PtYkf9X5S1k,"[(""Seizures"",0:15-0:28)]",Unique,4.0,,,,,,,,,
Cat,https://www.youtube.com/watch?v=byApGIDo8g8,"[(""Sitting"",0:08-0:38)]",Unique,4.0,,,,,,,,,
Cat,https://www.youtube.com/watch?v=_zFCwhNtGQ4,"[(""Seizures"",0:02-0:18)]",Unique,4.0,,,,,,,,,
Dog,https://www.youtube.com/watch?v=A8YPHoc0dR0,"[(""Running"", 0:02-0:20)]",Unique,2.0,,,,,,,,,
Dog,https://www.youtube.com/watch?v=KD9-SzGULHE,"[(""Walking"", 0:00-0:12)]",Unique,2.0,,,,,,,,,
Dog,https://www.youtube.com/watch?v=yyWheXqf_hM,"[(""Walking"", 1:59-2:01), (""Sitting"", 2:19-2:23)], [(""Walking"",3:59-4:03), (""Running"", 4:16-4:20)], [(""Running"", 6:11-6:15)], [(""Walking"", 7:27-7:30)]",Unique,1.0,,,,,,,,,
Dog,https://www.youtube.com/shorts/aElI539fD_E,"[(""Coughing"", 0:00-0:09)]",Unique,4.0,,,,,,,,,
Dog,https://www.youtube.com/watch?v=UT9o1vKJQ58,"[(""Lying"", 0:07-0:17), (""Coughing"", 0:22-0:27)]",Unique,5.0,,,,,,,,,
Dog,https://www.youtube.com/shorts/fOdZt56p6uc,"[(""Sitting"", 0:00-0:08)]",Unique,1.0,,,,,,,,,
Dog,https://www.youtube.com/shorts/wmxLd-qAtiY,"[(""Coughing"", 0:01-0:06)]",Unique,3.0,V,,,,,,,,
Dog,https://www.youtube.com/watch?v=JwZDWWwVxqY,"[(""Coughing"", 0:29-0:42)], [(""Coughing"", 0:47-1:02)]",Unique,4.0,,,,,,,,,
Dog,https://www.youtube.com/shorts/jkeS8vm45Bg,"[(""Walking"", 0:07-0:11)]",Unique,4.0,,,,,,,,,
Dog,https://www.youtube.com/shorts/KB59yrh-M0k,"[(""Standing(on all fours)"", 0:15-0:26)]",Unique,3.0,,,,,,,,,
Dog,https://www.youtube.com/watch?v=D2xyscDiW48,"[(""Walking"", 0:48-1:03), (""Walking"", 1:07-1:12), (""Lying"", 1:23-1:30), (""Lying"", 1:56-2:01), (""Sniffing"", 2:07-2:11), (""Lying"", 3:40-4:20)]",Unique,2.0,,,,,,,,,
Dog,https://www.youtube.com/watch?v=fh_46e9eh3A,"[(""Walking"", 0:00-0:19)]",Unique,5.0,,,,,,,,,
Dog,https://www.youtube.com/watch?v=ox4Z_zTzHZA,"[(""Standing(on all fours)"", 0:45-0:52), (""Walking"", 1:54-1:58)]",Unique,3.0,,,,,,,,,
Dog,https://www.youtube.com/watch?v=6LIEZu66Mp0,"[(""Sniffing"", 0:25-0:29), (""Sniffing"", 1:58-2:08)]",Unique,4.0,,,,,,,,,
Dog,https://www.youtube.com/watch?v=Y0un9FUxxxA,"[(""Lying"", 1:17-1:31), (""Sniffing"", 1:34-1:45), (""Sniffing"", 5:59-6:04)]",Unique,5.0,,,,,,,,,
